"Code Commune","Libellé des communes","Typo degré de Densité","Région","Population municipale 2017","Part population Dense (1)","Part population Densité Intermédiaire (2)","Part population Peu dense (3)","Part population Très peu dense (4)",,,,
01250,Misérieux,2,84,1941,0.00 %,67.90 %,32.05 %,0.05 %,,,,
01252,Mogneneins,3,84,778,0.00 %,0.00 %,98.51 %,1.49 %,,,,
01254,Montagnat,3,84,1992,0.00 %,0.00 %,99.62 %,0.38 %,,,,
01255,Montagnieu,3,84,622,0.00 %,0.00 %,99.50 %,0.50 %,,,,
01257,Montanges,4,84,344,0.00 %,0.00 %,0.00 %,100.00 %,,,,
01258,Montceaux,3,84,1195,0.00 %,24.14 %,75.05 %,0.81 %,,,,
01259,Montcet,3,84,691,0.00 %,0.00 %,97.70 %,2.30 %,,,,
01260,Le Montellier,4,84,297,0.00 %,0.00 %,0.00 %,100.00 %,,,,
01261,Monthieux,3,84,646,0.00 %,0.00 %,94.11 %,5.89 %,,,,
01262,Montluel,2,84,6964,0.00 %,79.68 %,14.44 %,5.87 %,,,,
01263,Montmerle-sur-Saône,2,84,3793,0.00 %,86.37 %,13.63 %,0.00 %,,,,
01264,Montracol,3,84,1040,0.00 %,0.00 %,96.69 %,3.31 %,,,,
01265,Montréal-la-Cluse,2,84,3435,0.00 %,98.58 %,0.82 %,0.60 %,,,,
01266,Montrevel-en-Bresse,3,84,2489,0.00 %,0.00 %,98.73 %,1.27 %,,,,
01267,Nurieux-Volognat,3,84,1028,0.00 %,0.00 %,89.53 %,10.47 %,,,,
01268,Murs-et-Gélignieux,3,84,252,0.00 %,0.00 %,98.00 %,2.00 %,,,,
01269,Nantua,3,84,3446,0.00 %,1.80 %,97.98 %,0.21 %,,,,
01272,Neuville-les-Dames,3,84,1510,0.00 %,0.00 %,90.55 %,9.45 %,,,,
01273,Neuville-sur-Ain,3,84,1756,0.00 %,0.00 %,84.36 %,15.64 %,,,,
01274,Les Neyrolles,3,84,639,0.00 %,0.00 %,99.67 %,0.33 %,,,,
01275,Neyron,2,84,2527,0.00 %,95.03 %,4.17 %,0.81 %,,,,
01276,Niévroz,3,84,1619,0.00 %,0.00 %,98.09 %,1.91 %,,,,
01277,Nivollet-Montgriffon,4,84,119,0.00 %,0.00 %,0.00 %,100.00 %,,,,
01279,Oncieu,4,84,89,0.00 %,0.00 %,0.00 %,100.00 %,,,,
01280,Ordonnaz,4,84,141,0.00 %,0.00 %,0.00 %,100.00 %,,,,
01281,Ornex,2,84,4410,0.00 %,87.92 %,11.78 %,0.30 %,,,,
01282,Outriaz,3,84,260,0.00 %,0.00 %,98.83 %,1.17 %,,,,
01283,Oyonnax,2,84,22427,0.00 %,95.04 %,4.68 %,0.28 %,,,,
01284,Ozan,3,84,686,0.00 %,0.00 %,98.66 %,1.34 %,,,,
01285,Parcieux,2,84,1206,0.00 %,93.54 %,6.46 %,0.00 %,,,,
01286,Parves et Nattages,3,84,942,0.00 %,0.00 %,99.70 %,0.30 %,,,,
01288,Péron,3,84,2620,0.00 %,0.00 %,95.15 %,4.85 %,,,,
01289,Péronnas,2,84,6385,0.00 %,88.93 %,10.22 %,0.85 %,,,,
01290,Pérouges,3,84,1201,0.00 %,36.25 %,62.41 %,1.34 %,,,,
01291,Perrex,3,84,838,0.00 %,0.00 %,97.86 %,2.14 %,,,,
01293,Peyriat,4,84,157,0.00 %,0.00 %,0.00 %,100.00 %,,,,
01294,Peyrieu,3,84,873,0.00 %,0.00 %,95.38 %,4.62 %,,,,
01295,Peyzieux-sur-Saône,3,84,661,0.00 %,0.00 %,95.50 %,4.50 %,,,,
