numero_UAI,dénomination_principale,Dénomination_complémentaire,code_postal_UAI,localité_acheminement,departement,nature_uai,libelle_court,nature libellé,Ministère tutelle ,UAIDTO,ACADCO
0420077F,LYCEE PROFESSIONNEL,ALBERT THOMAS,42328,ROANNE CEDEX,042,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,2-Nov-65,10
0420078G,LP LYCEE DES METIERS,CLAUDE LEBOIS,42403,ST CHAMOND CEDEX,042,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,2-Nov-65,10
0090019X,LP LYCEE DES METIERS,ARISTIDE BERGES,09201,ST GIRONS CEDEX,009,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-May-65,16
0121292P,LYCEE AGRICOLE PRIVE,CH. PALIES - ST AFFRIQUE,12400,ST AFFRIQUE,012,320,LYC PROF,LYCEE PROFESSIONNEL,AGRICULTURE,4-Sep-77,16
0131690S,LYCEE AGRICOLE PRIVE,FONTLONGUE - MIRAMAS,13148,MIRAMAS CEDEX,013,320,LYC PROF,LYCEE PROFESSIONNEL,AGRICULTURE,2-Jun-64,02
0132276D,LP LYCEE DES METIERS,LATECOERE,13128,ISTRES CEDEX,013,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,12-Jul-72,02
0160049S,LP LYCEE DES METIERS,JEAN ROSTAND,16023,ANGOULEME CEDEX,016,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,2-Nov-65,13
0171432P,LYCÉE PROFESSIONNEL,MARITIME ET AQUACOLE,17001,LA ROCHELLE CEDEX 1,017,320,LYC PROF,LYCEE PROFESSIONNEL,MER,1-Sep-89,13
0190034J,LYCEE PROFESSIONNEL,RENE CASSIN,19000,TULLE,019,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-May-65,22
0220019B,LP LYCEE DES METIERS,JULES VERNE,22205,GUINGAMP CEDEX,022,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-May-65,14
0230019W,LP LYCEE DES METIERS,DU BATIMENT,23500,FELLETIN,023,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-May-65,22
0260078U,LYCEE PROFESSIONNEL PRIVE,NOTRE DAME DES CHAMPS,26106,ROMANS SUR ISERE CEDEX,026,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,14-Mar-67,08
0271382F,LYCEE AGRICOLE PRIVE,TOURVILLE - PONT AUDEMER,27504,PONT AUDEMER CEDEX,027,320,LYC PROF,LYCEE PROFESSIONNEL,AGRICULTURE,6-Sep-77,21
0280942X,LYCEE AGRICOLE PRIVE,G. BRIDET - ANET,28260,ANET,028,320,LYC PROF,LYCEE PROFESSIONNEL,AGRICULTURE,4-Sep-77,18
0292265E,ECOLE 2D DEGRE PROF.PRIVEE,KLAXON ROUGE,29750,LOCTUDY,029,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-08,14
0310088C,LP LYCEE DES METIERS,,31250,REVEL,031,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,15-Jul-65,16
0311200L,LYCEE PROF PRIVE DES METIERS,AIRBUS - TOULOUSE,31060,TOULOUSE CEDEX 9,031,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,8-May-67,16
0312969J,ECOLE 2D DEGRE PROF.PRIVEE,ECOLE EUROPÉENNE DE LA TRANSIT,31370,LAHAGE,031,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-Nov-18,16
0320646D,LYCEE PROFESSIONNEL AGRICOLE,DE RISCLE,32400,RISCLE,032,320,LYC PROF,LYCEE PROFESSIONNEL,AGRICULTURE,1-Sep-78,16
0320633P,INSTITUT AGRICOLE PRIVE,DE MASSEUBE,32140,MASSEUBE,032,320,LYC PROF,LYCEE PROFESSIONNEL,AGRICULTURE,4-Sep-77,16
0330060L,LP LYCEE DES METIERS,FLORA TRISTAN,33360,CAMBLANES ET MEYNAC,033,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-May-65,04
0332344U,LYCEE PROFESSIONNEL,HENRI BRULLE,33503,LIBOURNE CEDEX,033,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,16-Feb-76,04
0332382K,LYCEE AGRICOLE PRIVE,ST CLEMENT - CUDOS,33430,CUDOS,033,320,LYC PROF,LYCEE PROFESSIONNEL,AGRICULTURE,5-Sep-77,04
0332445D,LP LYCEE DES METIERS,ALPHONSE BEAU DE ROCHAS,33028,BORDEAUX CEDEX,033,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-80,04
0351947B,LYCEE AGRICOLE PRIVE,JB TAILLANDIER - FOUGERES,35300,FOUGERES,035,320,LYC PROF,LYCEE PROFESSIONNEL,AGRICULTURE,6-Sep-77,14
0351943X,LYCEE AGRICOLE PRIVE,ST YVES - BAIN DE BRETAGNE,35470,BAIN DE BRETAGNE,035,320,LYC PROF,LYCEE PROFESSIONNEL,AGRICULTURE,6-Sep-77,14
0350807M,LYCEE PROF PRIVE DES METIERS,NOTRE DAME,35290,ST MEEN LE GRAND,035,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,12-Mar-68,14
0371100V,LP LYCEE DES METIERS,JOSEPH CUGNOT,37500,CHINON,037,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,2-Feb-72,18
0240012H,LYCEE PROFESSIONNEL,CHARDEUIL METIERS DU BATIMENT,24420,COULAURES,024,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-May-65,04
0292346T,ECOLE 2D DEGRE PROF.PRIVEE,FORMATION CCI BREST,29801,BREST CEDEX 9,029,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-16,14
0290324V,LYCEE AGRICOLE PRIVE,AGROTECH - LESNEVEN,29260,LESNEVEN,029,320,LYC PROF,LYCEE PROFESSIONNEL,AGRICULTURE,24-Apr-69,14
0120014A,LYCEE PROFESSIONNEL,JEAN VIGO,12100,MILLAU,012,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-May-65,16
0120867C,LYCEE AGRICOLE PRIVE,F. MARTY - MONTEILS,12200,MONTEILS,012,320,LYC PROF,LYCEE PROFESSIONNEL,AGRICULTURE,24-Sep-69,16
0221595P,LP LYCEE DES METIERS,LA FONTAINE DES EAUX,22102,DINAN CEDEX,022,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-Apr-75,14
0221677D,LYCEE AGRICOLE PRIVE,LE RESTMEUR - PABU,22200,PABU,022,320,LYC PROF,LYCEE PROFESSIONNEL,AGRICULTURE,7-Sep-77,14
0331740M,LYCEE PROFESSIONNEL AGRICOLE,DE LA TOUR BLANCHE - BOMMES,33210,BOMMES,033,320,LYC PROF,LYCEE PROFESSIONNEL,AGRICULTURE,6-Oct-69,04
0341752V,ECOLE 2D DEGRE PROF.PRIVEE,ESMA AVIATION ACADEMY,34137,MAUGUIO CEDEX,034,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-88,11
0420065T,LP LYCEE DES METIERS,DU HAUT FOREZ,42600,VERRIERES EN FOREZ,042,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-May-65,10
0010001W,LP LYCEE DES METIERS,ALEXANDRE BERARD,01500,AMBERIEU EN BUGEY,001,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-May-65,10
0010020S,LP LYCEE DES METIERS,GEORGES CHARPAK,01400,CHATILLON SUR CHALARONNE,001,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-May-65,10
0010021T,LP LYCEE DES METIERS,MARCELLE PARDE,01011,BOURG EN BRESSE CEDEX,001,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,16-Feb-71,10
0010099C,LYCEE PROF PRIVE DES METIERS,SAINT JOSEPH,01000,BOURG EN BRESSE,001,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,21-Feb-42,10
0010814E,LYCEE PROFESSIONNEL PRIVE,SAINT JOSEPH,01700,MIRIBEL,001,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,12-Nov-68,10
0011056T,LYCEE AGRICOLE PRIVE,DE L'AIN - VILLARS LES DOMBES,01330,VILLARS LES DOMBES,001,320,LYC PROF,LYCEE PROFESSIONNEL,AGRICULTURE,6-Sep-77,10
0011057U,LYCEE AGRICOLE PRIVE,DE L'AIN - NANTUA,01130,NANTUA,001,320,LYC PROF,LYCEE PROFESSIONNEL,AGRICULTURE,6-Sep-77,10
0011058V,LYCEE AGRICOLE PRIVE,DE ST SORLIN,01150,ST SORLIN EN BUGEY,001,320,LYC PROF,LYCEE PROFESSIONNEL,AGRICULTURE,6-Sep-57,10
0011256K,ECOLE 2D DEGRE PROF.PRIVEE,SYLVIA TERRADE BOURG-EN-BRESSE,01000,BOURG EN BRESSE,001,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-88,10
0011258M,LYCEE PROFESSIONNEL PRIVE,ENSEMBLE SCOLAIRE LAMARTINE,01302,BELLEY CEDEX,001,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-88,10
0020051V,LP LYCEE DES METIERS,D'ART,02100,ST QUENTIN,002,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-May-65,20
0020052W,LP LYCEE DES METIERS,COLARD NOEL,02100,ST QUENTIN,002,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-May-65,20
0020088K,LP LYCEE DES METIERS,CAMILLE CLAUDEL,02209,SOISSONS CEDEX,002,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,4-Nov-66,20
0020089L,LP LYCEE DES METIERS,FREDERIC ET IRENE JOLIOT CURIE,02500,HIRSON,002,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,4-Nov-66,20
0020022N,LYCEE PROFESSIONNEL,JEAN MONNET,02800,LA FERE,002,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-May-65,20
0020078Z,LYCEE PROFESSIONNEL,JULIE DAUBIE,02011,LAON CEDEX,002,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,29-Oct-65,20
0020079A,LP LYCEE DES METIERS,CONDORCET,02100,ST QUENTIN,002,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,29-Oct-65,20
0020492Z,LYCEE PROF PRIVE DES METIERS,ST VINCENT DE PAUL,02207,SOISSONS CEDEX,002,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,15-Apr-67,20
0020498F,LYCEE PROF PRIVE DES METIERS,SAINTE SOPHIE,02110,BOHAIN EN VERMANDOIS,002,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,15-Apr-67,20
0021479X,LP LYCEE DES METIERS,FRANCOISE DOLTO,02120,GUISE,002,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,10-Jul-68,20
0021818R,LYCEE AGRICOLE PRIVE,R. SCHUMAN - DE CHAUNY,02300,CHAUNY,002,320,LYC PROF,LYCEE PROFESSIONNEL,AGRICULTURE,6-Sep-77,20
0021906L,LYCEE PROF PRIVE DES METIERS,SAINT CHARLES,02300,CHAUNY,002,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,8-Sep-80,20
0021999M,LYCEE PROF PRIVE DES METIERS,SAINT JOSEPH,02400,CHATEAU THIERRY,002,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-93,20
0022002R,LYCEE PROFESSIONNEL PRIVE,SAINT JOSEPH,02140,FONTAINE LES VERVINS,002,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-93,20
0030105Y,LYCEE PROFESSIONNEL PRIVE,SAINTE-LOUISE,03100,MONTLUCON,003,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,14-Feb-69,06
0030112F,LYCEE PROFESSIONNEL PRIVE,ANNA RODIER,03000,MOULINS,003,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,14-Feb-69,06
0030061A,LP LYCEE DES METIERS,ALBERT LONDRES,03306,CUSSET CEDEX,003,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,25-Nov-66,06
0030924N,LYCEE PROFESSIONNEL,VAL D'ALLIER,03150,VARENNES SUR ALLIER,003,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-78,06
0031047X,LYCEE PROFESSIONNEL AGRICOLE,DE DURDAT LAREQUILLE,03310,DURDAT LAREQUILLE,003,320,LYC PROF,LYCEE PROFESSIONNEL,AGRICULTURE,15-Sep-88,06
0030867B,ECOLE SILVYA TERRADE VICHY,ECOLE D'ESTHETIQUE FOURNIER-GR,03200,VICHY,003,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,25-Sep-74,06
0030888Z,LYCEE AGRICOLE PRIVE,DU MAYET DE MONTAGNE,03250,LE MAYET DE MONTAGNE,003,320,LYC PROF,LYCEE PROFESSIONNEL,AGRICULTURE,6-Sep-77,06
0030905T,LP LYCEE DES METIERS,GUSTAVE EIFFEL,03800,GANNAT,003,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,22-Mar-77,06
0040007L,LP LYCEE DES METIERS,BEAU DE ROCHAS,04000,DIGNE LES BAINS,004,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-May-65,02
0040011R,LP LYCEE DES METIERS,LOUIS MARTIN BRET,04101,MANOSQUE CEDEX,004,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-May-65,02
0040496T,LYCÉE PROFESSIONNEL PRIVÉ,INSTITUT AVENIR PROVENCE,04100,MANOSQUE,004,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-85,02
0040550B,ECOLE 2D DEGRE PROF.PRIVEE,VICENTA ESTHETIQUE ET COIFFURE,04100,MANOSQUE,004,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-08,02
0050005D,LP LYCEE DES METIERS,ALPES ET DURANCE,05200,EMBRUN,005,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-May-65,02
0050008G,LYCEE PROFESSIONNEL,PAUL HERAUD,05000,GAP,005,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-May-65,02
0050009H,LP LYCEE DES METIERS,SEVIGNE,05001,GAP CEDEX,005,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-May-65,02
0050027C,LYCEE PROFESSIONNEL,PIERRE MENDES FRANCE,05400,VEYNES,005,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-65,02
0050039R,LYCEE PROFESSIONNEL PRIVE,PIERRE ET LOUIS POUTRAIN,05260,ST JEAN ST NICOLAS,005,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-Dec-41,02
0060022S,LYCEE PROFESSIONNEL,LEON CHIRIS,06130,GRASSE,006,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-May-65,23
0060023T,LYCEE PROFESSIONNEL,FRANCIS DE CROISSET,06130,GRASSE,006,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-May-65,23
0060027X,LP LYCEE DES METIERS,PIERRE ET MARIE CURIE,06500,MENTON,006,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-May-65,23
0060028Y,LP LYCEE DES METIERS,PAUL VALERY,06500,MENTON,006,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-May-65,23
0060038J,LYCEE PROFESSIONNEL,VAUBAN,06300,NICE,006,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-May-65,23
0060040L,LYCEE PROFESSIONNEL,PASTEUR,06000,NICE,006,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-May-65,23
0060042N,LYCEE PROFESSIONNEL,LES PALMIERS,06300,NICE,006,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-May-65,23
0060043P,LP LYCEE DES METIERS,MAGNAN,06000,NICE,006,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-May-65,23
0060082G,LP LYCEE DES METIERS,LES EUCALYPTUS,06206,NICE CEDEX 3,006,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,2-Nov-65,23
0060002V,LYCEE PROFESSIONNEL,JACQUES DOLLE,06600,ANTIBES,006,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-May-65,23
0060818G,ECOLE PROFESSIONNELLE PRIVEE,ILEC,06150,CANNES,006,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,6-Dec-68,23
0060715V,LYCEE PROFESSIONNEL PRIVE,LA PROVIDENCE,06200,NICE,006,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,12-Apr-67,23
0060776L,LYCEE PROF PRIVE DES METIERS,SAINT VINCENT DE PAUL,06300,NICE,006,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-Nov-67,23
0060907D,ECOLE PROFESSIONNELLE PRIVEE,EC TECH D'ESTHETIQUE GONTARD,06000,NICE,006,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,17-Nov-69,23
0061542U,ECOLE PROFESSIONNELLE PRIVEE,E.S.C.C.O.M.,06000,NICE,006,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-Nov-82,23
0061561P,LP LYCEE DES METIERS,ALFRED HUTINEL,06150,CANNES,006,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-83,23
0061394H,LYCEE PROFESSIONNEL PRIVE,LES FAUVETTES,06400,CANNES,006,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-78,23
0061462G,LYCEE PROF PRIVE DES METIERS,DON BOSCO,06046,NICE CEDEX 1,006,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-80,23
0061635V,LYCEE PROFESSIONNEL,AUGUSTE ESCOFFIER,06801,CAGNES SUR MER CEDEX,006,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-86,23
0061766M,ECOLE PROFESSIONNELLE PRIVEE,ECOLE EUROPEENNE ESTHETIQUE,06000,NICE,006,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-91,23
0062183R,ECOLE PROFESSIONNELLE PRIVEE,ASP TRAINING,06400,CANNES,006,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-Feb-18,23
0070112J,LYCEE PROFESSIONNEL PRIVE,SAINT ANDRE,07400,LE TEIL,007,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,23-Oct-67,08
0070114L,LYCEE PROF PRIVE DES METIERS,NOTRE DAME,07000,PRIVAS,007,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,23-Oct-67,08
0070115M,LYCEE PROF PRIVE DES METIERS,JULES FROMENT,07201,AUBENAS CEDEX,007,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,19-Sep-58,08
0070002P,LYCEE PROFESSIONNEL,JOSEPH ET ETIENNE MONTGOLFIER,07100,ANNONAY,007,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-May-65,08
0070016E,LP LYCEE DES METIERS,HOTELIER,07110,LARGENTIERE,007,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-May-65,08
0070031W,LP LYCEE DES METIERS,MARIUS BOUVIER,07301,TOURNON SUR RHONE CEDEX,007,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-May-65,08
0070100W,LYCEE PROFESSIONNEL PRIVE,MARC SEGUIN,07100,ANNONAY,007,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,14-Apr-67,08
0070107D,LYCEE PROFESSIONNEL PRIVE,MARIE RIVIER,07700,BOURG ST ANDEOL,007,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,14-Apr-67,08
0071231A,LYCEE AGRICOLE PRIVE,D'ANNONAY,07100,ANNONAY,007,320,LYC PROF,LYCEE PROFESSIONNEL,AGRICULTURE,2-Sep-77,08
0071234D,LYCEE AGRICOLE PRIVE,DE LAMASTRE,07270,LAMASTRE,007,320,LYC PROF,LYCEE PROFESSIONNEL,AGRICULTURE,2-Sep-77,08
0071239J,LYCEE AGRICOLE PRIVE,DE TOURNON SUR RHONE,07300,TOURNON SUR RHONE,007,320,LYC PROF,LYCEE PROFESSIONNEL,AGRICULTURE,2-Sep-77,08
0080093H,LYCEE PROFESSIONNEL PRIVE,JEANNE D'ARC,08400,VOUZIERS,008,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,7-Aug-67,19
0080943G,LYCEE AGRICOLE PRIVE,DE MAUBERT FONTAINE,08260,MAUBERT FONTAINE,008,320,LYC PROF,LYCEE PROFESSIONNEL,AGRICULTURE,18-Sep-67,19
0090003E,LYCEE PROFESSIONNEL,JEAN DURROUX,09000,FERRIERES SUR ARIEGE,009,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-May-65,16
0090006H,LP LYCEE DES METIERS,JOSEPH MARIE JACQUARD,09300,LAVELANET,009,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-May-65,16
0090020Y,LP LYCEE DES METIERS,FRANCOIS CAMEL,09201,ST GIRONS CEDEX,009,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-May-65,16
0090024C,LP LYCEE DES METIERS,DR PHILIPPE TISSIE,09700,SAVERDUN,009,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-May-65,16
0100016N,LYCEE PROFESSIONNEL,DENIS DIDEROT,10100,ROMILLY SUR SEINE,010,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-May-65,19
0100004A,LP LYCEE DES METIERS,VAL MORE,10110,BAR SUR SEINE,010,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-May-65,19
0100063P,LYCEE PROFESSIONNEL PRIVE,LEONIE AVIAT,10000,TROYES,010,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,23-Feb-67,19
0100072Z,ECOLE 2D DEGRE PROF.PRIVEE,SILVYA TERRADE GRAND-EST,10000,TROYES,010,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,23-Feb-67,19
0100078F,LYCEE PROFESSIONNEL PRIVE,JEANNE MANCE,10000,TROYES,010,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,23-Feb-67,19
0100734U,LYCEE AGRICOLE PRIVE,DE STE MAURE,10150,STE MAURE,010,320,LYC PROF,LYCEE PROFESSIONNEL,AGRICULTURE,1-Feb-65,19
0100891P,LYCEE AGRICOLE PRIVE,DES CORDELIERS - ARCIS SUR AUB,10700,ARCIS SUR AUBE,010,320,LYC PROF,LYCEE PROFESSIONNEL,AGRICULTURE,5-Sep-77,19
0101022G,LP LYCEE DES METIERS,EDOUARD HERRIOT,10300,STE SAVINE,010,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-87,19
0101015Z,LYCEE PROFESSIONNEL PRIVE DES,LA SALLE,10000,TROYES,010,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-85,19
0101122R,ECOLE 2D DEGRE PROF.PRIVEE,PIGIER,10000,TROYES,010,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,31-Aug-06,19
0110063J,ECOLE SECONDAIRE PROF.PRIVEE,BEAUTE ET COIFFURE,11100,NARBONNE,011,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,7-Feb-67,11
0110678C,INSTITUT AGRICOLE PRIVE,ST JOSEPH - LIMOUX,11303,LIMOUX CEDEX,011,320,LYC PROF,LYCEE PROFESSIONNEL,AGRICULTURE,24-Apr-69,11
0110710M,LYCEE PROFESSIONNEL AGRICOLE,DE NARBONNE,11782,NARBONNE CEDEX,011,320,LYC PROF,LYCEE PROFESSIONNEL,AGRICULTURE,25-Aug-69,11
0110857X,LYCEE AGRICOLE PRIVE,E. DE RODAT - PEZENS,11170,PEZENS,011,320,LYC PROF,LYCEE PROFESSIONNEL,AGRICULTURE,7-Dec-77,11
0110958G,ECOLE SECONDAIRE PROF.PRIVEE,ECOLE DENTAIRE FRANCAISE,11100,NARBONNE,011,320,LYC PROF,LYCEE PROFESSIONNEL,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-87,11
